week_start,week_end,news_lag2w,cong_lag2w,news_t,cong_t
2024-06-15,2024-06-28,1,0,8,2
2024-06-20,2024-07-03,1,0,6,1
2024-06-23,2024-07-06,1,0,6,1
2024-06-26,2024-07-09,0,1,6,1
2024-06-27,2024-07-10,1,0,6,1
2024-06-28,2024-07-11,0,1,6,1
2024-07-10,2024-07-23,1,0,6,1
2024-07-13,2024-07-26,1,0,6,1
2024-07-18,2024-07-31,2,0,6,2
2024-07-21,2024-08-03,1,0,6,2
2024-07-23,2024-08-05,1,1,6,2
2024-08-09,2024-08-22,0,1,6,2
2024-08-10,2024-08-23,1,0,6,2
2024-08-12,2024-08-25,2,0,6,2
2024-08-14,2024-08-27,2,0,6,2
2024-08-23,2024-09-05,0,1,6,0
2024-08-31,2024-09-13,1,0,6,0
2024-09-01,2024-09-14,1,0,6,0
2024-09-05,2024-09-18,2,0,6,0
2024-09-06,2024-09-19,1,0,6,0
2024-09-26,2024-10-09,1,0,4,0
2024-09-30,2024-10-13,1,0,4,0
2024-10-08,2024-10-21,1,0,4,0
2024-10-20,2024-11-02,1,0,9,1
2024-10-24,2024-11-06,1,0,9,1
2024-10-26,2024-11-08,1,0,9,1
2024-11-01,2024-11-14,1,0,9,1
2024-11-02,2024-11-15,1,0,9,1
2024-11-03,2024-11-16,1,0,9,1
2024-11-12,2024-11-25,0,1,9,1
2024-11-20,2024-12-03,2,0,11,2
2024-11-22,2024-12-05,1,0,11,2
2024-11-29,2024-12-12,2,0,11,2
2024-11-30,2024-12-13,1,0,11,2
2024-12-09,2024-12-22,1,0,11,2
2024-12-10,2024-12-23,2,0,11,2
2024-12-11,2024-12-24,3,0,11,2
2024-12-16,2024-12-29,0,1,11,2
2024-12-17,2024-12-30,2,0,11,2
2024-12-18,2024-12-31,0,1,11,7
2024-12-20,2025-01-02,1,0,11,7
2024-12-26,2025-01-08,2,0,11,7
2025-01-03,2025-01-16,2,3,11,7
2025-01-04,2025-01-17,1,0,11,7
2025-01-06,2025-01-19,1,0,11,7
2025-01-07,2025-01-20,3,0,11,7
2025-01-08,2025-01-21,3,0,11,7
2025-01-09,2025-01-22,1,0,11,7
2025-01-15,2025-01-28,0,1,11,7
2025-01-21,2025-02-03,0,2,0,0
2025-01-31,2025-02-13,0,1,0,0
2025-03-02,2025-03-15,2,0,9,1
2025-03-03,2025-03-16,1,0,9,1
2025-03-05,2025-03-18,1,0,9,1
2025-03-06,2025-03-19,1,0,9,1
2025-03-07,2025-03-20,1,0,9,1
2025-03-16,2025-03-29,2,0,9,1
2025-03-18,2025-03-31,1,0,6,5
2025-03-21,2025-04-03,0,1,6,5
2025-04-02,2025-04-15,0,1,6,5
2025-04-17,2025-04-30,2,0,3,4
2025-04-26,2025-05-09,1,0,3,4
2025-04-27,2025-05-10,1,0,3,4
2025-04-28,2025-05-11,1,1,3,4
2025-04-29,2025-05-12,1,2,3,4
2025-04-30,2025-05-13,0,1,3,4
2025-05-01,2025-05-14,0,3,3,4
2025-05-06,2025-05-19,0,1,3,4
2025-05-08,2025-05-21,1,0,3,4
2025-05-25,2025-06-07,1,0,12,1
2025-05-27,2025-06-09,1,0,12,1
2025-06-10,2025-06-23,1,0,12,1
2025-06-11,2025-06-24,1,0,12,1
2025-06-16,2025-06-29,3,0,12,1
2025-06-17,2025-06-30,6,0,6,0
2025-06-27,2025-07-10,1,0,6,0
2025-06-30,2025-07-13,0,1,6,0
2025-07-08,2025-07-21,1,0,6,0
2025-07-10,2025-07-23,1,0,6,0
2025-07-22,2025-08-04,2,0,16,0
2025-07-27,2025-08-09,1,0,16,0
2025-07-28,2025-08-10,1,0,16,0
2025-08-01,2025-08-14,1,0,16,0
2025-08-04,2025-08-17,1,0,16,0
2025-08-05,2025-08-18,2,0,16,0
2025-08-14,2025-08-27,1,0,16,0
2025-08-16,2025-08-29,2,0,16,0
2025-08-17,2025-08-30,1,0,16,0
2025-08-19,2025-09-01,2,0,8,1
2025-08-24,2025-09-06,1,0,8,1
2025-08-25,2025-09-07,1,0,8,1
2025-08-27,2025-09-09,1,0,8,1
2025-08-28,2025-09-10,2,0,8,1
2025-08-31,2025-09-13,1,0,8,1
2025-09-02,2025-09-15,1,0,8,1
2025-09-03,2025-09-16,3,0,8,1
2025-09-04,2025-09-17,2,0,8,1
2025-09-06,2025-09-19,1,0,8,1
2025-09-07,2025-09-20,1,0,8,1
2025-09-08,2025-09-21,0,1,8,1
2025-10-03,2025-10-16,0,1,3,1
2025-10-10,2025-10-23,1,0,3,1
2025-10-12,2025-10-25,1,0,3,1
2025-10-16,2025-10-29,1,0,3,1
2025-11-14,2025-11-27,1,0,2,0
2025-11-24,2025-12-07,1,0,11,7
2025-12-02,2025-12-15,1,0,11,7
2025-12-09,2025-12-22,0,1,11,7
2025-12-10,2025-12-23,1,1,11,7
2025-12-11,2025-12-24,1,1,11,7
2025-12-16,2025-12-29,0,3,11,7
2025-12-18,2025-12-31,1,1,0,0
2025-12-24,2026-01-06,1,0,0,0
2025-12-25,2026-01-07,3,0,0,0
2025-12-26,2026-01-08,1,0,0,0
2025-12-28,2026-01-10,2,0,0,0
