GOID,Date,Topic
434280512,2010-01-04,2
434289315,2010-02-22,3
434305430,2010-02-09,0
434306219,2010-02-05,2
434322421,2010-03-21,3
497937720,2010-06-16,2
500810169,2010-06-17,4
504741183,2010-06-20,3
517005517,2010-06-24,7
517008007,2010-06-24,3
519154190,2010-06-25,2
519164307,2010-06-25,2
520564977,2010-06-26,2
520623083,2010-06-26,4
521284610,2010-06-27,5
578386282,2010-07-06,1
625868568,2010-07-22,5
698166087,2010-07-26,1
704980819,2010-07-25,0
734654737,2010-08-03,2
737593621,2010-08-06,2
737595289,2010-08-06,2
737959881,2010-08-06,6
740330645,2010-08-09,1
743940273,2010-08-16,1
746391412,2010-08-23,6
747857454,2010-08-27,5
754969008,2010-09-27,5
756932727,2010-10-08,2
757039543,2010-10-09,1
757773944,2010-10-14,1
758775519,2010-10-17,5
758820654,2010-10-18,0
758827475,2010-10-18,1
759287600,2010-10-21,3
759621207,2010-10-23,0
759673862,2010-10-24,7
759674611,2010-10-24,0
763701373,2010-11-14,
815850383,2010-12-04,7
815898326,2010-12-05,1
815900191,2010-12-05,7
816801188,2010-12-10,7
817206153,2010-12-12,0
817206600,2010-12-12,2
817583174,2010-12-15,3
819574208,2010-12-22,7
820713509,2010-12-23,7
820759192,2010-12-23,2
821896902,2011-01-02,7
822846916,2011-01-09,4
828814275,2011-01-11,4
828817556,2011-01-11,0
846745273,2011-01-22,4
846745480,2011-01-22,0
847085819,2011-01-25,2
847578367,2011-01-28,5
847950952,2011-01-29,7
848280078,2011-01-31,4
849385261,2011-02-06,8
851210166,2011-02-11,1
851581652,2011-02-15,5
853665653,2011-02-25,5
854537229,2011-03-03,0
855160281,2011-03-07,4
857681919,2011-03-19,1
857683892,2011-03-19,2
857690677,2011-03-19,6
858690959,2011-03-27,0
859036709,2011-03-30,4
861189122,2011-04-11,4
861515473,2011-04-13,5
862110076,2011-04-16,5
862117170,2011-04-16,0
862182959,2011-04-17,0
862237816,2011-04-18,0
862766681,2011-04-21,1
863111432,2011-04-25,0
864763457,2011-05-05,0
864770528,2011-05-05,0
865676931,2011-05-11,1
865683255,2011-05-11,1
866012326,2011-05-12,2
866462659,2011-05-15,7
868755845,2011-05-27,4
868885468,2011-05-28,2
868888231,2011-05-28,1
868894046,2011-05-28,1
868989362,2011-05-30,2
870269841,2011-06-06,0
871533832,2011-06-14,1
872573384,2011-06-21,2
874299732,2011-07-01,7
874406652,2011-07-02,2
875592973,2011-07-09,0
876036579,2011-07-13,2
876217957,2011-07-14,6
877767238,2011-07-19,0
877801138,2011-07-19,2
880319745,2011-08-02,3
880787518,2011-08-03,2
881434080,2011-08-08,5
883306523,2011-08-14,6
883419596,2011-08-16,7
884253251,2011-08-19,5
884360703,2009-02-15,8
885453413,2011-08-27,2
886520096,2011-09-01,0
887448093,2011-09-04,3
888631509,2011-09-13,0
889165416,2011-09-14,0
890282433,2011-09-17,3
890635050,2011-09-19,0
893695796,2011-09-23,0
893726798,2011-09-22,5
894139186,2011-09-27,2
896648501,2011-10-08,5
896747066,2011-10-09,4
898658798,2011-10-18,2
898660430,2011-10-18,2
898661399,2011-10-18,7
902209370,2011-11-05,0
903656948,2011-11-14,4
905650904,2011-11-23,1
905652534,2011-11-23,2
905957232,2011-11-25,4
907774186,2011-12-04,4
909200093,2011-12-08,4
909874654,2011-12-09,5
909881185,2011-12-09,6
910040135,2011-12-10,0
910144665,2011-12-11,2
910193618,2011-12-12,8
910921806,2011-12-15,1
911146567,2011-12-16,1
911736156,2011-12-17,4
912253054,2011-12-22,8
912527697,2011-12-25,0
912699757,2011-12-27,3
913017414,2011-12-30,0
914277403,2012-01-06,1
918225648,2012-01-28,0
922734544,2012-02-23,0
926133179,2012-03-05,7
926858928,2012-03-09,2
927673172,2012-03-13,6
927967469,2012-03-15,5
958280208,2012-03-30,1
962492274,2012-03-31,0
993067508,2012-04-11,0
409353352,2002-10-23,1
409356044,2002-08-21,1
409361312,2002-11-08,8
409382815,2002-06-24,8
409384862,2003-01-10,6
409385433,2002-10-04,3
409386537,2002-12-12,4
409389897,2002-10-07,3
409391385,2003-01-05,
409397145,2003-01-13,1
409398189,2003-02-10,7
409398853,2002-09-05,6
409405945,2003-01-25,6
409415495,2002-10-04,
409418701,2002-11-18,4
409423989,2003-04-17,0
409425511,2003-04-16,1
409427248,2003-02-02,3
409429244,2002-10-20,6
409442513,2003-04-24,2
409444700,2003-01-15,1
409445475,2003-04-03,2
409454537,2003-03-06,4
409457451,2003-06-09,6
409464531,2003-05-29,
409466803,2003-05-29,1
409466910,2003-05-19,0
409477349,2003-07-17,2
409479360,2003-06-25,9
409480630,2003-07-18,6
409485271,2003-07-19,6
409488280,2003-05-27,2
409490890,2003-08-15,4
409495827,2003-06-23,2
409506855,2003-07-14,6
409510795,2003-08-07,4
409520608,2003-05-25,
409528529,2003-11-16,1
409529936,2003-05-18,8
409535402,2003-12-27,6
409541564,2003-05-08,1
409543264,2003-10-09,0
409549713,2003-12-31,0
409550392,2004-02-29,4
409559555,2003-11-16,
409563706,2004-01-21,1
409573201,2004-01-28,1
409574000,2003-10-17,1
409578272,2004-03-18,0
409579595,2003-10-11,0
409592729,2003-11-20,
409598619,2004-01-22,1
409599674,2004-04-29,3
409600287,2004-04-04,3
409603882,2004-04-03,4
409604711,2003-07-02,7
409609656,2004-02-04,3
409609770,2004-04-17,1
409618541,2004-01-13,1
409619198,2004-03-07,1
409620461,2004-04-28,2
409625539,2004-03-07,
409638130,2004-05-07,3
409638987,2004-07-22,1
409639042,2004-05-06,2
409639309,2004-07-22,6
409645641,2004-05-30,7
409646337,2004-05-29,1
409673530,2004-09-01,1
409673638,2004-07-22,2
409691887,2004-08-08,0
409692611,2004-05-23,0
409696024,2004-11-17,8
409699628,2004-05-02,4
409703063,2004-05-30,
409703662,2004-10-18,7
409711230,2004-05-30,
409715617,2004-11-19,1
409717049,2004-10-14,8
409721332,2004-10-10,0
409724259,2004-12-11,6
409727381,2004-12-28,0
409727761,2004-07-29,1
409735486,2004-04-04,
409740336,2005-02-24,
409751075,2005-01-29,2
409763822,2004-08-01,0
409765039,2005-02-13,1
409775113,2004-05-05,6
409791883,2004-07-16,6
409792019,2005-05-27,1
409793741,2005-02-23,6
409795162,2005-01-04,1
409802596,2005-04-07,3
409806292,2004-07-04,1
409808452,2004-09-15,5
409811386,2005-05-19,2
409825623,2004-09-24,4
409833635,2005-08-08,1
409836850,2005-08-21,6
409840236,2004-10-18,4
409843902,2005-05-11,1
409856496,2004-11-03,0
409857298,2005-07-20,6
409862241,2005-06-26,6
409864520,2004-10-10,
409865299,2005-09-05,2
409868298,2004-12-07,6
409870361,2005-10-06,
409874944,2005-10-02,
409876069,2005-02-02,6
409879308,2005-10-27,1
409882549,2005-02-17,
409891917,2005-11-13,3
409902226,2005-09-23,0
409915656,2005-11-13,1
409918101,2005-11-15,7
409920786,2006-02-21,0
409921944,2005-10-25,0
409922307,2005-07-24,0
409931232,2005-08-20,2
409932196,2005-11-09,1
409932197,2005-07-17,8
409933378,2005-12-20,3
409949695,2005-05-20,1
409953249,2005-07-02,1
409953322,2006-03-06,0
409959029,2006-01-18,1
409961592,2005-10-18,3
409963474,2005-07-21,6
409963538,2005-07-29,6
409968095,2005-09-15,2
409970644,2005-08-04,0
409972190,2005-07-23,0
409976566,2006-05-07,8
409984448,2005-10-13,0
409985912,2006-05-21,7
409986152,2005-08-10,7
409990562,2006-02-16,7
409991927,2006-02-14,7
410003271,2005-09-30,2
410011088,2005-08-04,
410021597,2006-05-25,7
410024739,2006-05-21,
410027291,2006-02-22,2
410037128,2006-09-24,1
410047109,2006-03-17,0
410049236,2006-10-30,1
410058919,2006-03-09,1
410078475,2006-11-07,1
410080696,2007-04-07,0
410086709,2006-12-04,0
410091265,2007-03-21,0
410094929,2006-07-26,8
410095716,2006-03-11,3
410096901,2007-04-15,1
410099556,2006-08-01,0
410102234,2006-09-01,1
410104391,2006-12-27,7
410105637,2006-12-27,
410110830,2007-04-26,0
410111862,2006-10-06,4
410130654,2007-06-28,0
410131289,2007-03-23,7
410136348,2007-06-02,2
410140016,2006-12-23,6
410140619,2007-03-21,4
410148522,2007-03-31,6
410155034,2008-03-31,4
410160511,2007-01-06,2
410167966,2007-06-03,8
410171279,2007-05-15,1
410174946,2008-04-30,5
410187551,2008-05-15,2
410188049,2007-11-11,0
410188866,2008-04-18,6
410190985,2007-03-28,6
410194816,2007-04-09,1
410195546,2008-01-08,7
410197874,2008-01-16,2
410202042,2008-03-10,0
410207922,2008-01-18,7
410209698,2007-11-28,1
410209790,2008-03-11,0
410214988,2008-07-03,7
410217293,2008-03-23,1
410217793,2008-08-29,7
410218108,2008-04-20,0
410221026,2008-05-13,7
410221899,2006-12-25,1
410223412,2008-05-12,8
410223440,2008-04-03,8
410225419,2008-01-16,1
410231630,2008-05-15,7
410233662,2008-05-13,2
410240629,2008-12-18,1
410245853,2008-08-20,2
410247120,2008-04-03,7
410248177,2008-10-06,2
410250407,2008-12-24,0
410251432,2008-09-07,0
410251935,2008-11-28,4
410252187,2008-08-27,7
410256698,2008-08-12,1
410258131,2008-11-20,2
410259549,2008-11-21,1
410261382,2008-10-25,2
410264913,2009-05-24,0
410267883,2008-12-12,7
410269286,2008-01-31,7
410270909,2009-03-04,1
410273115,2008-11-14,6
410275621,2008-09-23,7
410275836,2008-10-18,7
410282125,2008-11-30,4
410284182,2009-01-01,4
410286335,2009-01-07,1
410291182,2009-03-25,1
410292759,2009-01-04,4
410298424,2009-03-14,0
410298680,2009-02-11,6
410301059,2009-03-20,1
410301696,2009-05-09,7
410302199,2009-04-16,8
410309675,2009-03-04,2
410309791,2009-03-12,
410311950,2009-03-07,2
410312954,2009-03-08,6
410313213,2009-02-02,8
410323444,2009-08-16,2
410325909,2010-04-15,6
410326129,2009-08-25,1
410330193,2009-12-10,0
410332715,2009-12-31,2
410339332,2009-08-19,1
410349191,2009-10-22,3
410353625,2009-07-21,1
410354561,2010-03-09,0
410356276,2010-01-25,1
410356920,2010-03-30,5
410357447,2010-02-08,4
410362979,2010-01-11,4
410369274,2010-03-19,0
410373892,2010-03-18,0
417936547,2007-02-18,8
417967632,2007-02-18,
418183477,1996-12-26,4
418197009,1996-12-18,5
418253929,1997-04-27,2
418282960,1997-03-20,1
418284753,1997-03-04,0
418297098,1997-03-30,2
418307681,1997-02-10,0
418311709,1997-02-06,0
418311817,1997-06-06,2
418323562,1997-04-11,2
418324285,1997-10-22,7
418326916,1997-04-13,6
418347549,1997-10-16,2
418351871,1997-06-01,0
418356201,1997-05-21,2
418380106,1997-05-08,5
418384076,2002-04-28,3
418394765,1997-07-27,4
418442044,2002-04-28,1
418446096,1997-09-28,5
418460205,1998-04-16,2
418467119,1998-05-16,0
418471943,1997-10-12,4
418475413,1998-03-29,1
418488683,1998-06-06,2
418499729,1998-05-07,0
418505163,1997-11-23,0
418531168,1998-01-17,
418540390,1998-02-03,2
418549159,2002-03-15,2
418574027,1998-04-22,4
418586942,1998-05-06,2
418615792,1998-06-06,3
418618342,1998-06-06,5
418620506,1998-06-05,5
418622378,1998-06-14,0
418634959,1998-08-26,0
418637631,1998-07-07,2
418649416,1998-06-30,0
418651346,1998-08-26,3
418652014,1998-08-26,6
418689027,1998-05-07,0
418716053,1998-09-09,
418718602,1998-09-25,2
418739893,1998-12-27,0
418768609,1999-06-18,2
418788770,1999-01-19,0
418798522,1999-07-05,2
418836891,1999-08-20,5
418842373,1999-03-22,2
418852127,1999-03-08,6
418856259,1999-03-07,0
418874984,1999-08-30,2
418880466,1999-03-08,0
418881006,1999-03-19,0
418902011,1999-09-26,3
418906827,1999-11-07,8
418916305,1999-08-20,6
418933725,1999-09-19,0
418939959,1999-12-03,8
418946333,2000-02-29,7
418958364,2000-02-02,8
418976380,1999-05-02,2
418982055,1999-12-02,6
418987198,1999-10-16,0
419022336,2000-08-13,4
419034247,2000-07-09,3
419038009,2000-07-23,
419048057,2000-06-18,7
419073647,2000-09-13,2
419075546,2000-07-09,
419094867,2000-07-03,7
419098608,2000-07-22,0
419126653,2001-02-21,6
419140448,2000-07-31,1
419140997,2000-07-28,3
419162765,2000-09-24,6
419171266,2000-11-03,3
419174347,2000-07-13,0
419187904,2001-01-10,4
419211249,2000-07-05,6
419249440,2000-09-24,
419259752,2001-03-05,3
419277787,2001-07-11,7
419327776,2001-06-21,2
419328581,2000-12-10,3
419331499,2001-05-13,2
419331561,2001-07-06,1
419341219,2001-04-12,1
419348440,2001-06-24,1
419357443,2001-05-27,3
419366002,2001-07-27,1
419373351,2001-04-13,1
419385052,2001-08-23,5
419396389,2001-07-08,4
419399398,2001-04-10,4
419409020,2001-10-28,
419409222,2001-08-03,2
419412949,2001-06-01,1
419414789,2001-08-10,5
419428400,2001-06-27,3
419431138,2001-05-15,2
419433397,2001-05-06,3
419438287,2001-10-19,1
419441302,2001-09-01,1
419459686,2001-11-18,2
419462981,2001-07-24,0
419516516,2002-11-22,2
419520656,2002-11-29,2
419532416,2002-01-10,1
419543155,2001-12-30,6
419543565,2002-03-31,5
419550291,2002-11-26,0
419565833,2002-01-04,0
419570768,2002-11-17,4
419574103,2002-07-31,8
419576632,2002-11-17,5
419601870,2002-02-24,0
419603568,2002-05-02,0
419605279,2003-03-26,0
419634361,2002-08-07,6
419648555,2003-03-25,0
419661557,2002-06-26,2
419668496,2002-11-29,0
419669423,2003-04-03,2
419671016,2002-12-06,2
419673137,2002-12-19,2
419684306,2002-11-24,0
419684700,2002-10-27,2
419693348,2003-04-14,2
419700535,2003-11-06,2
419703958,2002-12-11,
419720341,2002-08-07,6
419732367,2002-07-17,0
419736287,2003-03-23,3
419739263,2003-03-27,0
419743690,2003-11-13,0
419751487,2002-11-08,6
419757622,2003-03-19,2
419759541,2003-03-26,2
419763951,2003-02-11,2
419774210,2003-11-15,0
419777907,2003-10-12,0
419785232,2003-12-26,5
419785687,2003-03-13,1
419786166,2002-08-11,2
419791769,2003-03-28,1
419806173,2003-12-07,0
419812752,2002-10-13,
419816767,2002-08-28,0
419829505,2003-04-01,0
419849366,2003-04-02,0
419863698,2004-04-08,0
419865705,2004-04-21,0
419870934,2003-05-15,4
419874516,2003-04-13,2
419880302,2003-04-04,0
419891870,2003-07-21,6
419905602,2003-06-15,4
419911772,2003-12-19,1
419915862,2004-01-11,
419919958,2003-07-19,2
419950868,2003-06-06,0
419961576,2004-05-02,0
419962999,2004-05-07,1
419964071,2004-06-13,0
419976049,2003-10-13,2
419978235,2003-08-01,2
420026730,2004-07-26,4
420077546,2004-12-29,2
420126945,2004-10-13,6
420145829,2004-04-23,5
420177261,2004-05-15,
420189405,2004-05-02,
420203707,2004-06-13,0
420221110,2005-02-02,2
420227595,2005-07-25,6
420249430,2005-07-20,6
420274423,2005-02-27,1
420294662,2004-07-17,7
420300399,2004-12-01,5
420318303,2005-04-24,2
420326368,2004-08-31,8
420327894,2005-09-30,6
420355745,2005-11-16,0
420355806,2005-11-16,2
420371347,2005-11-05,7
420372736,2006-01-11,0
420393590,2005-12-16,7
420400924,2006-01-02,3
420415753,2006-03-20,3
420425512,2006-01-19,2
420448105,2006-05-12,3
420448672,2006-03-17,2
420460517,2006-07-23,1
420462130,2006-08-11,2
420467235,2006-07-21,2
420479348,2006-08-29,3
420481897,2005-09-30,2
420488448,2006-12-27,7
420495196,2006-04-10,8
420503835,2006-07-09,8
420509703,2006-11-27,4
420514528,2007-01-12,2
420525606,2007-03-31,0
420527232,2007-03-23,2
420528621,2006-10-04,6
420533673,2006-11-10,3
420534007,2007-03-19,3
420538954,2007-03-23,2
420544130,2006-11-28,1
420549729,2007-01-27,2
420575118,2007-01-07,1
420582786,2007-06-28,7
420584380,2007-06-28,2
420586750,2007-06-26,6
420593021,2007-09-09,7
420610313,2007-08-01,5
420636403,2007-11-28,2
420645990,2007-10-05,1
420646944,2008-04-06,1
420655535,2010-03-07,1
420695066,2008-06-15,2
420695277,2008-06-15,0
420697754,2008-06-11,2
420703440,2008-01-08,2
420710036,2008-12-16,4
420738145,2008-03-24,1
420746203,2008-05-15,7
420747941,2008-08-30,7
420776953,2008-10-19,7
420783497,2009-01-22,7
420791419,2008-10-18,2
420791778,2008-12-12,4
420796248,2009-05-09,4
420802590,2009-03-10,4
420803456,2009-01-28,4
420808251,2009-12-31,8
420810654,2009-03-04,4
420844560,2009-07-17,4
420845050,2009-09-22,2
420845540,2009-01-02,
420846053,2009-09-22,1
420899520,2009-10-23,7
420985738,1993-10-22,
421055265,1995-02-17,
421072592,1997-01-13,0
421075250,1997-01-30,3
421088605,1997-02-01,5
421093840,1992-02-09,
421099729,1997-03-02,1
421101016,1997-01-11,3
421102969,1995-05-25,
421104252,1997-01-12,3
283848681,1994-11-21,0
283854436,1994-11-11,4
283864506,1995-02-23,6
283874780,1995-04-18,6
283875206,1994-12-14,1
283877685,1994-12-18,2
283878641,1994-11-20,4
283886146,1994-12-19,3
283894775,1994-07-08,0
283895940,1995-04-08,
283897034,1994-12-05,
283898399,1994-12-05,2
283900805,1995-04-16,8
283908304,1995-03-15,0
283909540,1995-03-09,8
283912302,1995-03-10,0
283917523,1994-08-08,7
283918183,1995-04-21,6
283920309,1995-03-18,6
283921061,1995-01-01,2
283925826,1995-03-07,2
283926288,1995-06-30,5
283927933,1995-04-18,4
283928201,1995-05-28,7
283929369,1994-08-16,7
283933817,1995-01-20,2
283934358,1995-04-15,8
283935748,1995-06-19,4
283936511,1995-04-25,0
283938395,1995-05-17,6
283940115,1995-04-23,1
283941665,1994-09-06,6
283946944,1995-05-25,1
283949596,1995-05-10,2
283952839,1995-06-25,3
283955247,1995-05-30,2
283955816,1995-03-12,3
283958903,1995-06-11,4
283960106,1995-06-29,6
283961207,1995-03-04,4
283961875,1995-03-18,2
283962327,1995-05-20,4
283963280,1995-07-19,5
283965721,1995-07-16,0
283966555,1995-07-15,2
283967345,1995-07-10,2
283967935,1995-06-26,3
283968018,1995-08-17,4
283968423,1995-05-15,0
283969041,1995-06-23,2
283969236,1995-07-10,6
283969953,1995-06-11,1
283972289,1995-06-19,6
283972451,1995-04-06,2
283975042,1995-07-07,6
283975649,1995-07-03,2
283975663,1995-07-01,2
283975679,1995-07-03,3
283977586,1995-07-01,0
283977855,1995-09-29,2
283978667,1995-07-01,7
283979364,1995-07-21,0
283979589,1995-09-26,7
283980321,1995-06-16,8
283983144,1995-09-23,7
283984736,1995-08-28,0
283985865,1995-09-02,4
283986115,1995-09-21,2
283990057,1995-10-31,2
283994119,1995-05-29,8
284001918,1995-09-06,6
284009322,1995-09-08,2
284017862,1995-10-15,6
2840468233,2023-07-22,3
2844002365,2023-08-01,3
2844475271,2023-08-02,0
2847191112,2023-08-08,3
2854688388,2023-08-23,4
2856692176,2023-08-25,0
2857174416,2023-08-26,0
2857489361,2023-08-27,0
2857512200,2023-08-27,3
2865980483,2023-09-19,1
2869108114,2023-09-27,3
2869474104,2023-09-28,4
2870653524,2023-10-01,8
2873070967,2023-10-05,6
2873070968,2023-10-05,
2873070970,2023-10-06,6
2873102498,2023-10-06,6
2873140204,2023-10-06,
2874707361,2023-10-10,3
2875675166,2023-10-12,5
2876184193,2023-10-12,4
2876231750,2023-10-13,4
2877619306,2023-10-17,3
2877671818,2023-10-17,6
288074598,2010-05-17,4
2881058336,2023-10-25,0
2881058421,2023-10-25,0
288308995,2010-05-19,5
2884031992,2023-10-31,5
2886491790,2023-11-07,7
2895067786,2023-11-30,0
2895100508,2023-11-29,7
2897290349,2023-12-05,3
2898162467,2023-12-06,8
2899187968,2023-12-08,0
2899297523,2023-12-08,7
2907067403,2023-12-29,2
290809367,1985-01-22,5
290817978,1985-01-03,4
290821297,1985-03-31,0
290852696,1985-08-11,6
290858933,1985-07-03,3
290860585,1985-07-26,0
290889745,1985-11-07,4
290890498,1986-01-28,5
290893085,1986-01-27,7
290897277,1986-01-19,2
290910566,1986-02-13,7
290925882,1986-05-25,1
290931653,1986-06-07,0
290936519,1986-05-05,0
290937964,1986-06-26,2
290938795,1986-07-27,0
290944489,1986-08-02,2
290944816,1986-06-19,5
290950210,1986-09-06,4
290955468,1986-08-20,4
290972954,1986-09-11,
291002485,1987-02-13,2
291018539,1987-04-19,2
291054966,1987-08-09,0
291071667,1995-11-07,4
291073522,1995-11-04,7
291079294,1995-11-18,7
291079784,1995-12-10,8
291080483,1995-12-16,2
2910836498,2024-01-07,-1
291085676,1996-01-22,2
291087125,1995-12-03,3
291092194,1996-02-12,7
291094032,1996-02-27,7
291094123,1996-02-27,2
291095845,1996-02-25,6
291097612,1996-01-07,8
291098721,1996-01-05,2
291100122,1996-01-07,0
291100444,1996-01-04,0
291101441,1996-02-21,2
291106589,1996-02-11,2
291107146,1996-03-25,6
291107523,1996-03-26,6
291109657,1996-03-24,7
291114417,1996-04-28,7
291119488,1996-04-18,7
291121705,1996-05-28,5
291124189,1996-05-09,2
291124820,1996-05-22,0
291128274,1996-05-19,0
291128340,1996-05-21,5
291128594,1996-06-13,6
291129224,1996-05-04,4
291131375,1996-06-11,3
291136907,1996-05-26,0
291142440,1996-06-22,2
291144320,1996-07-02,1
291145786,1996-08-18,6
291146776,1996-07-01,7
291148537,1996-09-24,6
291149193,1996-07-29,6
291149812,1996-07-07,1
291157200,1996-09-11,2
291158647,1996-08-03,6
291167529,1996-10-13,3
291170774,1996-10-31,0
291178086,1996-11-16,6
291180863,1996-11-03,0
291200516,1996-12-01,0
2915859696,2024-01-18,4
292018067,1985-01-03,0
292028478,1985-01-19,0
292036208,1985-02-24,3
292036511,1985-02-25,2
292037287,1985-02-07,0
292037751,1985-02-23,2
292038748,1985-03-31,5
292064929,1985-03-06,0
292077494,1985-03-06,2
292086120,1985-05-09,5
292093393,1985-05-23,8
292094642,1985-05-26,1
292120682,1985-07-27,0
292121473,1985-08-28,2
292129368,1985-04-07,1
292130525,1985-04-05,7
292147880,1985-05-16,2
292148518,1985-09-23,3
292153347,1985-07-29,
292158069,1985-06-21,5
292163008,1985-09-08,3
292164110,1985-07-09,5
292180679,1985-09-22,5
292191414,1985-09-22,
292196923,1985-07-19,5
292203192,1985-09-15,0
292205103,1986-01-06,4
292219589,1985-11-23,5
292256755,1986-03-05,2
292262448,1986-03-23,1
292269823,1986-02-25,5
292295097,1986-02-09,2
292297398,1986-04-15,5
292298793,1986-05-04,5
292311630,1986-04-20,7
292312864,1986-09-28,2
292314566,1986-05-15,8
292317565,1986-03-12,3
292331751,1986-07-20,2
292335543,1986-05-02,3
292336619,1986-05-03,5
292344098,1986-05-30,5
292358698,1986-09-15,7
292359407,1986-05-30,5
292369915,1986-06-15,0
292384974,1986-05-10,3
292399795,1986-09-18,5
292401062,1986-08-18,0
292402590,1986-07-04,3
292405416,1986-06-27,7
2924130847,2024-02-10,0
292436168,1986-09-02,2
292463779,1987-01-03,1
292472623,1986-12-22,7
292485229,1987-05-12,3
292486402,1986-12-23,7
292495289,1987-01-03,2
292501929,1987-01-29,5
292502219,1987-05-27,2
292502979,1987-04-05,3
292509266,1987-04-03,5
292524629,1987-02-15,0
292535935,1987-05-28,6
292536305,1986-12-13,7
292557117,1987-07-13,3
292601895,1987-08-11,1
292605262,1987-08-28,2
292618370,1987-08-27,2
292621992,1987-08-25,5
292624613,1987-06-26,5
292634031,1987-07-16,2
292638015,1987-06-01,3
292650834,1987-08-08,2
292665528,1987-03-28,3
292679293,1987-12-26,3
292683289,1987-05-09,1
292686871,1987-11-02,1
292703129,1987-04-09,2
292703391,1987-11-29,8
292704374,1987-04-09,2
292710020,1987-10-13,4
292710062,1988-01-14,5
292713022,1987-11-14,2
292715418,1987-08-19,0
292732998,1987-12-26,3
292736109,1987-11-04,1
292737162,1987-10-02,5
292762635,1988-03-25,0
292778442,1988-07-17,3
292790060,1994-09-21,8
292790702,1988-02-04,5
292792524,1994-09-21,3
292801933,1988-03-10,2
292827958,1988-01-08,1
292833135,1988-07-29,2
2928403245,2024-02-19,0
2928460562,2024-02-20,0
292847631,1994-11-04,1
292857114,1994-10-16,0
292859876,1988-04-19,2
292860647,1988-03-25,0
292865535,1988-05-07,2
292866871,1988-03-23,5
292871099,1988-06-01,2
292872001,1994-10-17,8
292874448,1988-05-14,3
292874834,1994-10-30,6
292878475,1994-10-30,8
292878538,1994-10-30,6
292883362,1994-12-20,5
292886884,1988-06-14,0
292897310,1994-10-13,3
292898492,1988-04-05,1
292904957,1995-01-06,5
292906705,1994-12-22,5
292908319,1994-12-25,0
292909988,1994-12-22,6
292921582,1994-12-22,6
292928316,1995-01-15,0
292929332,1994-12-28,4
292929689,1995-01-22,5
292930877,1994-12-28,5
292933448,1994-12-16,3
292934708,1994-09-21,
292935091,1994-09-03,3
292935721,1994-12-16,5
292940893,1994-09-02,5
292942060,1994-09-01,6
292947944,1994-10-09,3
292949706,1995-04-29,2
292957226,1995-01-18,6
292960755,1994-09-01,6
292962411,1995-01-07,0
292963901,1994-10-08,6
292967064,1994-12-10,6
292970123,1994-10-30,8
292971284,1995-01-26,6
292971773,1994-10-09,
292972675,1994-12-03,3
292975604,1995-03-04,2
292979114,1994-12-04,8
292980999,1995-05-26,2
292983235,1994-09-27,6
292993162,1994-11-03,8
292993968,1995-04-16,8
292996937,1994-10-26,8
292998592,1995-01-31,3
293000452,1994-12-22,1
293003375,1995-02-25,4
293004297,1995-01-08,2
293011522,1994-10-21,0
293014624,1994-12-03,7
293016468,1995-02-08,3
